,Full Project,,,Time (ms),,,Memory (KB),,,,,,,
Project,Parsing,Approach,Total,min,median,max,min,median,max,,,,,
ActiveMQ,157.90,380.52,538.42,133,229,816,"6,715","9,066","54,540",,,8.973733333,,16
Activiti,434.31,962.16,"1,396.47",106,139,319,"6,518","7,085","54,170",,,23.27445,,
Airavata,645.13,687.08,"1,332.21",112,211,447,"5,422","12,090","31,720",,,22.2035,,
Alluxio,154.21,291.25,445.46,122,171,401,"6,035","8,523","40,070",,,7.42435,,
Atmosphere,23.42,81.48,104.91,136,182,392,"7,225","9,056","22,910",,,1.748433333,,
AWS-SDK-Java,"20,635.32","6,845.56","27,480.88",107,151,352,"5,353","7,125","28,540",,,458.0147,,
Beam,165.09,206.75,371.84,116,166,345,"6,967","7,760","18,410",,,6.197316667,,
Camel,"4,070.88","1,918.24","5,989.11",105,145,471,"3,791","10,160","31,350",,,99.81855,,
Elastic-Job,15.70,37.25,52.96,107,115,147,"7,223","7,657","10,160",,,0.882616667,,
Flume,35.77,78.60,114.37,125,211,376,"7,306","9,300","18,920",,,1.906116667,,
Hadoop,"1,378.77","1,657.04","3,035.82",113,233,"2,857","3,041","10,220","89,060",,,50.59696667,,
Hazelcast,523.91,"1,067.62","1,591.53",102,185,442,"5,231","9,740","26,030",,,26.52553333,,
Hbase,"1,393.62",923.91,"2,317.54",114,212,808,"5,122","9,359","51,850",,,38.6256,,
Jetty,227.89,422.60,650.49,111,185,466,"6,869","10,110","32,160",,,10.84146667,,
Kafka,90.05,328.02,418.07,107,176,336,"6,339","10,020","34,510",,,6.967766667,,
Lens,55.97,193.11,249.08,106,165,503,"6,707","9,876","31,280",,,4.151316667,,
NanoHTTPD,3.45,10.44,13.88,112,123,247,"7,567","7,763","25,110",,,0.2314,,
Neo4j,588.51,981.39,"1,569.90",98,144,453,"5,393","7,264","34,010",,,26.16491667,,
Sling,750.62,761.56,"1,512.18",109,157,"1,410","5,975","8,749","28,370",,,25.20296667,,
Twitter4j,23.78,91.43,115.21,121,170,302,"7,389","9,233","15,190",,,1.920116667,,
Overall,"31,374.31 (63.64%)","17,926.00","49,300.31",98,192,"2,857","3,041","9,549","89,060",,,821.6718167,,
,,,,,,,,,,,,,,
,"10,738.99","11,080.44",,,,,,,,,,,,
,,,,,,,,,,,,,,
,0.492175482,0.507824518,,,,,,,,,,,,